Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,X10
VNET,"21Vianet Group, Inc.",8.39,524374404.31,62499929,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",18.84,1193229346.44,,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
DDD,3D Systems Corporation,7.68,907409441.28,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd,
JOBS,"51job, Inc.",72.07,2842644830.17,39442831,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
WUBA,58.com Inc.,55,8177150410,,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba,
EGHT,8x8 Inc,22.61,2244890555.88,,,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,
ATEN,"A10 Networks, Inc.",6.87,525933495.78,,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten,
AAN,"Aaron&#39;s,  Inc.",61.01,4121072791.97,,,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,
ACIA,"Acacia Communications, Inc.",63.73,2618016609.95,,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,
ACIW,"ACI Worldwide, Inc.",31.3,3653162973.6,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,
ACMR,"ACM Research, Inc.",14.33,260755472.42,,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,
ATVI,"Activision Blizzard, Inc",55.19,42332161628.6,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,
ATU,Actuant Corporation,24.5,1505716859.5,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu,
IOTS,Adesto Technologies Corporation,10.87,326870552.56,,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots,
ADBE,Adobe Inc.,279.3,135583046226.6,,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,
AMD,"Advanced Micro Devices, Inc.",30.5,33109163949.5,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd,
AER,Aercap Holdings N.V.,55.49,7580099693.14,,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer,
