X1	Chr	Position	logR
CN_776500	19	90910	-0.009
CN_774672	19	104506	0
CN_790078	19	114299	0
CN_784839	19	232496	0
CN_165044	19	255564	-0.8811
CN_797957	19	255578	-0.7937
CN_797972	19	255830	-0.7162
CN_798028	19	257392	-0.5654
CN_798034	19	258084	-0.639
SNP_A-8509279	19	260912	-0.7715
SNP_A-8291423	19	260970	-0.746
CN_800215	19	260998	-0.8261
SNP_A-2260116	19	261033	-1.071
CN_767466	19	263407	-0.8861
CN_767550	19	265583	0.1072
CN_769647	19	266101	-1.3495
CN_769658	19	266604	-0.7041
SNP_A-8468665	19	266888	-0.6611
CN_769715	19	268031	-0.5236
CN_769716	19	268138	-0.6811
SNP_A-8587781	19	276245	-1.0183
CN_776206	19	277378	-0.733
CN_776207	19	277485	-0.6167
SNP_A-2293731	19	277776	-1.3309
CN_778513	19	283868	-0.7937
CN_778512	19	284018	-0.2605
SNP_A-8328596	19	292583	-0.9641
SNP_A-8301349	19	293346	-1.1085
SNP_A-4277655	19	293934	-1.009
SNP_A-1848123	19	296458	-0.1085
CN_784993	19	301349	0.6208
CN_784994	19	301399	0.6369
SNP_A-2136817	19	301639	-0.2784
SNP_A-2040286	19	301668	-0.7773
CN_784997	19	305278	-1.0471
CN_784998	19	305304	-1.1085
CN_784999	19	305405	-0.6611
CN_785000	19	305471	-2.4305
CN_785010	19	310174	-0.7966
CN_785011	19	310208	-0.2435
SNP_A-8691926	19	315788	-0.8455
SNP_A-8525259	19	316040	-0.3078
CN_785045	19	326946	-0.4361
CN_785046	19	326972	-0.246
CN_785044	19	327022	-0.8455
SNP_A-8708821	19	327323	-0.8131
CN_785051	19	327945	-0.6167
SNP_A-8605512	19	328855	-0.5742
CN_787119	19	332006	-0.2298
CN_787120	19	332014	-0.2756
CN_787121	19	332029	-0.4049
CN_787132	19	334792	-0.8861
SNP_A-4242445	19	335055	-0.7937
CN_787134	19	335323	-1.0381
CN_787151	19	342084	-1.4829
CN_787159	19	348129	-0.8928
CN_787160	19	348143	-1.1085
SNP_A-2115585	19	348743	-1.246
CN_787164	19	352488	-0.8455
SNP_A-1915656	19	352660	0.3296
CN_787167	19	353384	-0.3576
CN_787168	19	353400	0.0219
CN_787173	19	355210	-0.5742
CN_165740	19	364949	-0.7606
CN_787185	19	365050	-0.8455
CN_787187	19	365838	-1.1674
SNP_A-8493281	19	366412	-0.4829
SNP_A-2109633	19	366680	-0.7966
CN_787189	19	366725	-1.246
SNP_A-8433787	19	366804	-0.398
CN_787190	19	366828	-0.1085
CN_787191	19	366945	-1.4778
CN_787192	19	366999	-0.9106
CN_787193	19	367064	-1.2341
SNP_A-2297192	19	367089	-1.0183
SNP_A-8595928	19	376382	-1.8861
CN_789370	19	379930	-1.3777
SNP_A-8481737	19	384644	-1.398
CN_795892	19	388950	-0.8675
SNP_A-1888879	19	389805	-0.568
SNP_A-1938296	19	390341	-0.083
SNP_A-2087210	19	412730	-1.1558
CN_776466	19	414810	0.0435
CN_776476	19	415106	0.0403
CN_778522	19	415625	-1.224
SNP_A-8556001	19	416231	-0.5236
SNP_A-8646621	19	417556	-0.9386
SNP_A-8595879	19	417714	-0.4829
SNP_A-8630659	19	419407	-0.0183
SNP_A-8320342	19	419498	0.0239
SNP_A-8698215	19	420755	-0.3495
SNP_A-4206128	19	422238	-0.6528
CN_791670	19	437821	-1.2784
SNP_A-4195287	19	441195	-0.568
CN_793883	19	441638	-0.971
CN_796063	19	444449	-0.5236
CN_796083	19	445491	-1.5236
SNP_A-2177576	19	450282	-1.4305
CN_800416	19	451080	0.2959
CN_772163	19	462603	-1.4778
CN_772171	19	462698	-0.73
SNP_A-8510618	19	462736	-0.983
SNP_A-8636112	19	463528	-0.4747
CN_772222	19	464681	-1.3309
CN_776521	19	468402	-1.0261
CN_780841	19	475716	-0.8231
SNP_A-2306324	19	482221	-0.5236
CN_783152	19	482616	-0.1085
CN_785200	19	483332	0.2838
CN_785220	19	483473	-0.4747
CN_787497	19	490427	-1.0429
SNP_A-8621528	19	494057	-0.4711
CN_796226	19	505759	-0.9386
CN_167785	19	508144	-0.5654
SNP_A-2109351	19	509717	-0.746
CN_767838	19	513867	-0.9257
CN_767891	19	515138	-0.9975
CN_767921	19	516363	-0.6456
CN_770146	19	521281	-0.9021
CN_774510	19	528822	-0.1085
CN_778930	19	538316	-0.0444
